id,first_name,last_name,model,sales
1,Paola,Indruch,Nissan,$5257.07
2,Isidora,Couch,Maserati,$7685.37
3,Jammie,Thrustle,Mercury,$4923.59
4,Wallache,Tring,Mazda,$7153.88
5,Mareah,Minkin,Audi,$9934.01
6,Hy,Leguay,Chevrolet,$2115.84
7,Pearline,Sander,Chrysler,$5146.96
8,Alaster,Muston,Jeep,$8009.80
9,Meta,Tumilson,Ford,$6693.90
10,Chucho,Betje,Pontiac,$5360.13
11,Barnett,Collopy,BMW,$9582.18
12,Harland,Baford,Plymouth,$5418.18
13,Rena,Mathwin,BMW,$5777.38
14,Hamilton,Uebel,Mercedes-Benz,$9928.94
15,Nert,Gerrens,Chevrolet,$4531.61
16,Cathrine,Saulter,Audi,$2337.00
17,Maximilien,Brobak,Mazda,$8132.59
18,Maison,Waylen,Ford,$3078.52
19,Humfrid,Colborn,Lexus,$3886.85
20,Bryn,MacCaig,Mitsubishi,$9278.39
21,Lissi,Tibbits,BMW,$9342.96
22,Floris,Tarbert,Ford,$4843.31
23,Millie,Aiers,Saturn,$2996.77
24,Kare,Chastenet,Volkswagen,$7939.87
25,Brandyn,Gaydon,Ford,$6617.09
26,Alon,Glenister,Ford,$8011.27
27,Brandice,Grandin,GMC,$4971.66
28,Marilee,Jaffray,Honda,$2383.54
29,Keenan,Hessing,Lexus,$4219.53
30,Cull,Hatto,Mazda,$8178.35
31,Clemmy,Howle,MINI,$2958.71
32,Alvan,Dumsday,Lexus,$7699.88
33,Reggi,Twells,Suzuki,$2884.03
34,Annamarie,O'Brian,Chrysler,$2232.93
35,Brade,Kolak,Chevrolet,$7629.33
36,Amara,McIlroy,Chevrolet,$9010.30
37,Karie,Triplett,Suzuki,$2704.48
38,Gloriana,Sharville,Lotus,$8568.92
39,Cathleen,Franciotti,MINI,$4167.52
40,Maddy,Woodyear,Ford,$4841.75
41,Bryant,Fisbey,BMW,$4389.04
42,Stafford,Doone,Buick,$2043.46
43,Arda,Manoelli,Volkswagen,$7986.91
44,Lyssa,Duro,Audi,$3153.60
45,Lishe,Pentlow,Oldsmobile,$9862.79
46,Annemarie,Gallant,Nissan,$4625.17
47,Shanta,Abbis,Ford,$3621.68
48,Griffy,Chansonne,Volvo,$8368.34
49,Babita,Thornthwaite,Subaru,$5315.38
50,Ellery,Lloyd-Williams,Rolls-Royce,$3606.41
51,Bendicty,Carnduff,Ford,$7352.60
52,Flory,Trueman,Chevrolet,$7169.32
53,Nevile,McIleen,Mazda,$7583.75
54,Ernie,Deave,Oldsmobile,$2178.49
55,Lina,Screaton,Ford,$5061.27
56,Johnna,Broad,Nissan,$4786.71
57,Carolann,Phlippi,GMC,$8574.36
58,Horatia,Laverack,Dodge,$8800.55
59,Michele,Brixey,Lexus,$3484.66
60,Erie,McClosh,Toyota,$7193.42
61,Arlyne,Reyne,Audi,$3375.47
62,Val,Cabera,Plymouth,$8456.79
63,Pru,Wasielewicz,Mazda,$8738.56
64,Chaim,O' Mullan,Saab,$3349.70
65,Ole,Swadon,Toyota,$5509.76
66,Mill,Withull,Pontiac,$5135.37
67,Eben,McGready,Lincoln,$7884.71
68,Kittie,Rzehorz,Kia,$5241.51
69,Paolo,Keohane,Audi,$3646.17
70,Gayleen,Twizell,Cadillac,$3580.92
71,Eldridge,Alliker,Dodge,$7595.61
72,Mickie,Denman,Subaru,$4999.71
73,Lane,Casarino,Ford,$5850.98
74,Estel,Van der Veldt,Buick,$3926.13
75,Gearard,Hellsdon,Ford,$7751.85
76,Fairleigh,Dowdell,Toyota,$5139.76
77,Hettie,Bursell,Pontiac,$9913.95
78,Rodina,Allmond,Ram,$4249.12
79,Griffie,Clarage,Bentley,$7959.33
80,Calley,Garritley,Volvo,$3968.84
81,Antonio,Sawford,Chevrolet,$4630.47
82,Ailene,Robbings,Lincoln,$7588.81
83,Aksel,Gonet,GMC,$6103.56
84,Leonora,Farriar,Audi,$7057.05
85,Dreddy,Hexum,Jeep,$6162.15
86,Thatch,Tooke,Land Rover,$3215.01
87,Cicely,Lambot,MINI,$9741.65
88,Jammal,Belfelt,Mitsubishi,$9574.81
89,Melina,Giff,Ford,$6949.93
90,Lanie,Stowte,Mercedes-Benz,$9784.84
91,Annabal,Rollitt,Infiniti,$7749.85
92,Reta,Baumert,Mitsubishi,$5759.24
93,Wake,Sugden,Dodge,$5748.87
94,David,Henaughan,Mazda,$5019.85
95,Kerrie,Pharrow,Cadillac,$3611.06
96,Kylie,Simmank,Ford,$6613.94
97,Caddric,Hoston,Mercedes-Benz,$5898.68
98,Lesya,Caird,Ford,$8482.97
99,Bail,Renard,Mazda,$7840.17
100,Clywd,Huck,Nissan,$3867.50
101,Mose,Lombard,Mercedes-Benz,$2753.56
102,Mellisent,Dreng,Mazda,$5512.69
103,Leo,Gately,Kia,$7888.50
104,Eddie,Titt,Mitsubishi,$5730.31
105,Trudie,Kohter,Dodge,$6249.36
106,Loydie,Summerscales,Cadillac,$3461.01
107,Janaya,Simpson,Pontiac,$2617.46
108,Frederique,Hadny,Jeep,$6325.97
109,Obadiah,Tweede,Dodge,$9014.09
110,Staford,Walford,Mitsubishi,$2454.70
111,Jemima,Dine-Hart,Ford,$3282.44
112,Jard,Pourveer,Hummer,$9594.45
113,Ora,Andriesse,Mazda,$7217.92
114,Luci,Smallridge,GMC,$2661.03
115,Felice,Ferencowicz,Oldsmobile,$2751.71
116,Fifine,Kneller,Suzuki,$3254.27
117,Nick,Kinsett,Dodge,$5182.44
118,Roddy,Dan,GMC,$6304.39
119,Goldina,Chadbourne,Dodge,$8109.42
120,Arlin,Antonich,Infiniti,$5216.34
121,Cindee,Adnet,Lexus,$3043.27
122,Patrice,Gillis,GMC,$9777.76
123,Hercule,Hollingsbee,Toyota,$3300.96
124,Janeen,Arch,Chevrolet,$8278.96
125,Hanni,Ciccottio,Buick,$2470.43
126,Flory,Somerfield,Geo,$9629.34
127,Allix,Armal,Pontiac,$2201.93
128,Boothe,Kippin,Pontiac,$4694.12
129,Nicola,McMorran,Audi,$8945.37
130,Nancy,Lazenbury,Maserati,$7266.78
131,Corina,Shave,Mercedes-Benz,$6802.70
132,Ashla,Depper,Mazda,$3830.16
133,Ravi,Langcaster,Toyota,$6744.23
134,Abigael,Pilfold,Hummer,$9189.93
135,Marlon,Demchen,Cadillac,$2343.16
136,Berte,Begent,Oldsmobile,$9019.11
137,Tally,Flobert,Volkswagen,$2558.12
138,Jaye,Fricke,GMC,$4894.90
139,Darrin,Yearron,Daewoo,$3511.43
140,Nathanil,Ekell,Mercedes-Benz,$4767.91
141,Emlen,Bertomier,BMW,$2897.17
142,Bonita,Featherstonhaugh,Acura,$6857.64
143,Slade,Doust,Ford,$5688.11
144,Franny,MacAfee,Jeep,$8565.11
145,Jule,Nevison,Infiniti,$4875.73
146,Linn,Suddick,Dodge,$3582.73
147,Shem,Bragger,Nissan,$7062.90
148,Orion,McGahern,Hyundai,$4761.22
149,Tomasine,Eccleston,Land Rover,$5908.92
150,Vivie,Huckleby,Audi,$3570.75
151,Dyane,Cissen,Dodge,$2685.21
152,Beverley,Cohan,Ford,$8076.83
153,Alberta,Bischof,Volvo,$9043.53
154,Holmes,Milstead,Suzuki,$6011.42
155,Joly,Earwicker,Mitsubishi,$9630.02
156,Roxie,Tatters,Chevrolet,$6077.02
157,Tommie,Coggeshall,Lincoln,$7069.20
158,Lamar,Piatto,Chevrolet,$7587.11
159,Frannie,Garrat,Infiniti,$7460.23
160,Emera,Daber,Lincoln,$6461.06
161,Gilburt,Gawkroge,Suzuki,$2451.29
162,Antonio,Slowey,Toyota,$6117.49
163,Peg,Calderon,Ford,$8780.76
164,Donnie,Wainscot,Nissan,$7033.63
165,Dionysus,Dikle,Mercedes-Benz,$4128.52
166,Marnia,Yeowell,Bentley,$6141.83
167,Fay,Reveland,Dodge,$3862.50
168,Gustaf,Leadstone,Mercedes-Benz,$2077.82
169,Ozzie,Poynzer,Mitsubishi,$5370.24
170,Irwin,Ettles,Chevrolet,$2997.92
171,Alfredo,Jiggen,Mercedes-Benz,$6344.45
172,Selma,Gurys,Infiniti,$2525.84
173,Max,Cockrell,Lotus,$9546.55
174,Phillipe,Anster,Volkswagen,$3950.16
175,Fran,Whether,Mitsubishi,$2948.09
176,Emylee,Cockney,Pontiac,$8572.75
177,Durant,Beckwith,Jaguar,$5084.63
178,Barbi,Guppey,Ford,$5915.62
179,Walsh,Croce,Dodge,$8147.21
180,Bernadene,Hamman,Oldsmobile,$4081.79
181,Ivette,Shearwood,Cadillac,$8774.78
182,Powell,Knuckles,Audi,$3730.12
183,Roosevelt,Barehead,Ford,$4998.58
184,Lenci,Sargint,Chevrolet,$3721.25
